Designator,Mid X,Mid Y,Rotation,Layer
D1,17.78,-14.2875,90,bottom
D10,134.541,-15.4782,90,bottom
D11,264.3194,-16.6688,90,bottom
D12,267.8913,-15.4782,90,bottom
D13,283.3695,-16.6688,90,bottom
D14,286.9413,-15.4782,90,bottom
D15,297.657,-16.6688,90,bottom
D16,301.2289,-15.4782,90,bottom
D17,22.6219,-33.3375,90,bottom
D18,46.4344,-33.3375,90,bottom
D19,65.4844,-33.3375,90,bottom
D2,36.9094,-14.2875,90,bottom
D20,84.5344,-33.3375,90,bottom
D21,102.394,-35.7188,90,bottom
D22,105.9659,-34.5282,90,bottom
D23,121.4441,-35.7188,90,bottom
D24,125.0159,-34.5282,90,bottom
D25,140.4941,-35.7188,90,bottom
D26,144.066,-34.5282,90,bottom
D27,254.7944,-35.7188,90,bottom
D28,258.3663,-34.5281,90,bottom
D29,273.8444,-35.7188,90,bottom
D3,55.9594,-14.2875,90,bottom
D30,278.607,-34.5282,90,bottom
D31,294.0851,-34.5282,90,bottom
D32,25.0031,-52.3875,90,bottom
D33,51.1969,-52.3875,90,bottom
D34,70.2469,-52.3875,90,bottom
D35,89.2969,-52.3875,90,bottom
D36,108.3469,-52.3875,90,bottom
D37,127.3969,-52.3875,90,bottom
D38,146.4469,-52.3875,90,bottom
D39,165.4969,-52.3875,90,bottom
D4,75.0096,-14.2875,90,bottom
D40,184.5469,-52.3875,90,bottom
D41,203.5969,-52.3875,90,bottom
D42,222.6469,-52.3875,90,bottom
D43,241.6969,-52.3875,90,bottom
D44,260.7469,-52.3875,90,bottom
D45,279.7969,-52.3875,90,bottom
D46,295.275,-52.3875,90,bottom
D47,20.2406,-71.4375,90,bottom
D48,41.6719,-71.4375,90,bottom
D49,60.7219,-71.4375,90,bottom
D5,92.869,-16.6688,90,bottom
D50,79.7719,-71.4375,90,bottom
D51,98.8219,-71.4375,90,bottom
D52,117.8719,-71.4375,90,bottom
D53,136.9219,-71.4375,90,bottom
D54,155.9719,-71.4375,90,bottom
D55,175.0219,-71.4375,90,bottom
D56,194.0719,-71.4375,90,bottom
D57,213.1219,-71.4375,90,bottom
D58,232.1719,-71.4375,90,bottom
D59,251.2219,-71.4375,90,bottom
D6,96.4409,-15.4782,90,bottom
D60,270.2719,-71.4375,90,bottom
D61,296.4656,-71.4375,90,bottom
D62,23.8125,-86.9156,90,bottom
D63,46.4344,-86.9156,90,bottom
D64,65.4844,-88.1062,90,bottom
D65,84.5344,-88.1062,90,bottom
D66,103.5844,-88.1062,90,bottom
D67,122.6344,-88.1062,90,bottom
D68,141.6844,-88.1062,90,bottom
D69,160.7344,-88.1062,90,bottom
D7,111.919,-16.6688,90,bottom
D70,179.7844,-88.1062,90,bottom
D71,198.8344,-88.1062,90,bottom
D72,217.8844,-88.1062,90,bottom
D73,230.9813,-90.4875,180,bottom
D74,265.5094,-86.9156,90,bottom
D75,284.5594,-86.9156,90,bottom
D76,297.6563,-90.4875,180,bottom
D8,115.4909,-15.4782,90,bottom
D9,130.9691,-16.6688,90,bottom
SW1,8.885,-5.725,180,bottom
SW10,180.335,-5.725,180,bottom
SW11,199.385,-5.725,180,bottom
SW12,218.435,-5.725,180,bottom
SW13,237.485,-5.725,180,bottom
SW14,256.535,-5.725,180,bottom
SW15,275.585,-5.725,180,bottom
SW16,294.635,-5.725,180,bottom
SW17,13.6475,-24.775,180,bottom
SW18,37.46,-24.775,180,bottom
SW19,56.51,-24.775,180,bottom
SW2,27.935,-5.725,180,bottom
SW20,75.56,-24.775,180,bottom
SW21,94.61,-24.775,180,bottom
SW22,113.66,-24.775,180,bottom
SW23,132.71,-24.775,180,bottom
SW24,151.76,-24.775,180,bottom
SW25,170.81,-24.775,180,bottom
SW26,189.86,-24.775,180,bottom
SW27,208.91,-24.775,180,bottom
SW28,227.96,-24.775,180,bottom
SW29,247.01,-24.775,180,bottom
SW3,46.985,-5.725,180,bottom
SW30,266.06,-24.775,180,bottom
SW31,289.8725,-24.775,180,bottom
SW32,16.0288,-43.825,180,bottom
SW33,42.2225,-43.825,180,bottom
SW34,61.2725,-43.825,180,bottom
SW35,80.3225,-43.825,180,bottom
SW36,99.3725,-43.825,180,bottom
SW37,118.4225,-43.825,180,bottom
SW38,137.4725,-43.825,180,bottom
SW39,156.5225,-43.825,180,bottom
SW4,66.035,-5.725,180,bottom
SW40,175.5725,-43.825,180,bottom
SW41,194.6225,-43.825,180,bottom
SW42,213.6725,-43.825,180,bottom
SW43,232.7225,-43.825,180,bottom
SW44,251.7725,-43.825,180,bottom
SW45,270.8225,-43.825,180,bottom
SW46,292.2538,-43.825,180,bottom
SW47,11.2663,-62.875,180,bottom
SW48,32.6975,-62.875,180,bottom
SW49,51.7475,-62.875,180,bottom
SW5,85.085,-5.725,180,bottom
SW50,70.7975,-62.875,180,bottom
SW51,89.8475,-62.875,180,bottom
SW52,108.8975,-62.875,180,bottom
SW53,127.9475,-62.875,180,bottom
SW54,146.9975,-62.875,180,bottom
SW55,166.0475,-62.875,180,bottom
SW56,185.0975,-62.875,180,bottom
SW57,204.1475,-62.875,180,bottom
SW58,223.1975,-62.875,180,bottom
SW59,242.2475,-62.875,180,bottom
SW6,104.135,-5.725,180,bottom
SW60,261.2975,-62.875,180,bottom
SW61,287.4913,-62.875,180,bottom
SW62,13.6475,-81.925,180,bottom
SW63,37.46,-81.925,180,bottom
SW64,56.51,-81.925,180,bottom
SW65,75.56,-81.925,180,bottom
SW66,94.61,-81.925,180,bottom
SW67,113.66,-81.925,180,bottom
SW68,132.71,-81.925,180,bottom
SW69,151.76,-81.925,180,bottom
SW7,123.185,-5.725,180,bottom
SW70,170.81,-81.925,180,bottom
SW71,189.86,-81.925,180,bottom
